Iceland,lc,lgdp,c,ca,i,g,bci,ur,b10,wi
,,,74164,-0.63999999,16920,26443,218,,5.77,148.8
0.005426285,74164,,76646,-1.09,17680,27506,219,,5.5999999,154.10001
0.01060865,76646,0.005426285,78285,-2.54,17548,28162,223.60001,,5.3000002,157.89999
0.036788851,78285,0.01060865,80853,-2.6600001,18995,29477,225.89999,,5.3299999,159.3
-0.007616216,80853,0.036788851,82821,-12.41,25183,30548,225.89999,,5.0300002,167.89999
0.098903783,82821,-0.007616216,85299,-3.6500001,25496,31131,230.39999,,4.8000002,169.2
0.001859004,85299,0.098903783,88121,-5.4899998,24541,32334,230.89999,,4.6700001,170.39999
0.027051779,88121,0.001859004,90089,-5.4699998,26997,32605,230.89999,,4.3299999,172.10001
0.028005546,90089,0.027051779,93122,-5.0700002,23681,33987,231.2,,4.1300001,180.39999
-0.025977116,93122,0.028005546,94017,-7.4499998,24148,34863,235.39999,,4.1199999,181.39999
0.014485741,94017,-0.025977116,96990,-8.1999998,24124,35396,235.5,,4.2800002,182
0.046611078,96990,0.014485741,99290,-5.8499999,24880,37146,236.7,,4.6100001,182.89999
0.015170407,99290,0.046611078,101412,-8.1700001,26345,37292,236.7,,4.7800002,186.89999
0.009857086,101412,0.015170407,105175,-9.4200001,27628,38574,239.39999,,5.3299999,191.10001
0.047039375,105175,0.009857086,106807,-7.9099998,26656,40625,244.8,,5.5700002,196.39999
0.011768321,106807,0.047039375,108674,-13.85,27340,40970,244.7,,5.5300002,197.2
-0.01102352,108674,0.011768321,109208,-11.66,28147,42086,245.10001,,5.52,204.2
0.091138929,109208,-0.01102352,109953,-4.2600002,27022,43856,253.7,,5.2600002,208.7
0.019284835,109953,0.091138929,111304,-5.8699999,27278,45003,259.29999,,5.1399999,212.39999
0.069676571,111304,0.019284835,112241,3.6700001,27476,46695,261.39999,,5.1100001,215.2
-0.039778832,112241,0.069676571,112984,-0.41999999,22300,49191,265.70001,,5.3099999,224.60001
0.019689571,112984,-0.039778832,115024,1.2,22882,49921,275.79999,,5.3800001,225.39999
-0.00946648,115024,0.019689571,116409,3.1199999,22782,51007,277.60001,,5.2600002,226.5
0.030622466,116409,-0.00946648,117495,1.99,22764,52680,277.39999,,4.9899998,227.89999
0.023705335,117495,0.030622466,120509,0.01,25526,52530,278,3,4.73,237
-0.03800083,120509,0.023705335,121568,-4.4099998,26768,53276,284.79999,2.3,4.4299998,238
0.005921324,121568,-0.03800083,124789,-5.77,27746,54134,286.39999,2.3,4.1900001,239.3
