Weights,1,2,3,4,5,6,7,8,,1_w,2_w,3_w,4_w,5_w,6_w,7_w,8_w
5.32E-14,0.021999125,0.021954873,0.02192565,0.021879864,0.021844776,0.021800595,0.02175028,0.021715191,,1.17E-15,4.83E-04,4.81E-04,4.80E-04,4.78E-04,4.76E-04,4.74E-04,4.72E-04
0,0.016538141,0.017942139,0.02503484,0.013004686,0.041862925,0.015571698,0.022396887,0.02265528,,0.00E+00,2.97E-04,4.49E-04,3.26E-04,5.44E-04,6.52E-04,3.49E-04,5.07E-04
0,0.020317311,0.02031059,0.020306152,0.020299198,0.020293869,0.020287159,0.020279518,0.020274189,,0.00E+00,4.13E-04,4.12E-04,4.12E-04,4.12E-04,4.12E-04,4.11E-04,4.11E-04
5.85E-15,0.009633564,0.010169971,0.011898392,0.012041434,0.023663577,0.013221528,0.015414835,0.015390995,,5.64E-17,9.80E-05,1.21E-04,1.43E-04,2.85E-04,3.13E-04,2.04E-04,2.37E-04
6.64E-14,0.017931101,0.017990728,0.017980371,0.018093898,0.018579386,0.018603943,0.018529017,0.018721706,,1.19E-15,3.23E-04,3.23E-04,3.25E-04,3.36E-04,3.46E-04,3.45E-04,3.47E-04
0,0.022056289,0.022014164,0.021988168,0.021936057,0.021893615,0.021870512,0.021822839,0.0218121,,0.00E+00,4.86E-04,4.84E-04,4.82E-04,4.80E-04,4.79E-04,4.77E-04,4.76E-04
2.40E-14,0.02248161,0.022468084,0.022405865,0.022374756,0.022374756,0.022313889,0.022307126,0.022307126,,5.40E-16,5.05E-04,5.03E-04,5.01E-04,5.01E-04,4.99E-04,4.98E-04,4.98E-04
0,0.020758015,0.023303195,0.023303195,0.024393986,0.02403039,0.022939597,0.02403039,0.025848375,,0.00E+00,4.84E-04,5.43E-04,5.68E-04,5.86E-04,5.51E-04,5.51E-04,6.21E-04
5.16E-14,0.02413698,0.023739471,0.023037986,0.023108134,0.022406649,0.021868843,0.021564866,0.020769848,,1.25E-15,5.73E-04,5.47E-04,5.32E-04,5.18E-04,4.90E-04,4.72E-04,4.48E-04
0,0.020875966,0.020849892,0.020831197,0.02082431,0.020782001,0.020775606,0.020769702,0.020761339,,0.00E+00,4.35E-04,4.34E-04,4.34E-04,4.33E-04,4.32E-04,4.32E-04,4.31E-04
0,0.01803388,0.019407351,0.026432177,0.014421555,0.043124116,0.016897934,0.023665414,0.0238769,,0.00E+00,3.50E-04,5.13E-04,3.81E-04,6.22E-04,7.29E-04,4.00E-04,5.65E-04
0,0.023644121,0.01885321,0.023888853,0.020434242,0.023139104,0.024899374,0.020028788,0.02579665,,0.00E+00,4.46E-04,4.50E-04,4.88E-04,4.73E-04,5.76E-04,4.99E-04,5.17E-04
0,0.017483954,0.019063332,0.019064101,0.030963982,0.019884895,0.02194994,0.021669272,0.020993147,,0.00E+00,3.33E-04,3.63E-04,5.90E-04,6.16E-04,4.36E-04,4.76E-04,4.55E-04
1.37E-14,0.021155381,0.020932487,0.02117019,0.022526285,0.022454334,0.022025272,0.02242566,0.021443264,,2.90E-16,4.43E-04,4.43E-04,4.77E-04,5.06E-04,4.95E-04,4.94E-04,4.81E-04
0,0.019910904,0.020761819,0.020095086,0.020428929,0.021016055,0.021101981,0.022731096,0.02220496,,0.00E+00,4.13E-04,4.17E-04,4.11E-04,4.29E-04,4.43E-04,4.80E-04,5.05E-04
0,0.015789831,0.015892547,0.016074472,0.016916892,0.016866462,0.017602023,0.018527767,0.019126957,,0.00E+00,2.51E-04,2.55E-04,2.72E-04,2.85E-04,2.97E-04,3.26E-04,3.54E-04
6.39E-14,0.016767049,0.019822812,0.019873483,0.02127541,0.020996274,0.019937181,0.021298246,0.023588025,,1.07E-15,3.32E-04,3.94E-04,4.23E-04,4.47E-04,4.19E-04,4.25E-04,5.02E-04
5.85E-16,0.023924553,0.022520596,0.022744686,0.021344544,0.020271064,0.01972488,0.018134129,0.017212054,,1.40E-17,5.39E-04,5.12E-04,4.85E-04,4.33E-04,4.00E-04,3.58E-04,3.12E-04
0,0.023473695,0.023352321,0.023145938,0.02355158,0.023260412,0.022844072,0.022407878,0.022913252,,0.00E+00,5.48E-04,5.41E-04,5.45E-04,5.48E-04,5.31E-04,5.12E-04,5.13E-04
3.16E-14,0.017045897,0.018435146,0.025509174,0.013481179,0.042289755,0.016020742,0.022822182,0.023075717,,5.39E-16,3.14E-04,4.70E-04,3.44E-04,5.70E-04,6.78E-04,3.66E-04,5.27E-04
0.096521486,0.010188866,0.011635223,0.027083489,0.007806051,0.036977083,0.011875672,0.018031205,0.020396869,,9.83E-04,1.19E-04,3.15E-04,2.11E-04,2.89E-04,4.39E-04,2.14E-04,3.68E-04
1.05E-17,0.015730553,0.017173258,0.024427338,0.012452568,0.041171733,0.015055498,0.021753707,0.022025334,,1.65E-19,2.70E-04,4.19E-04,3.04E-04,5.13E-04,6.20E-04,3.28E-04,4.79E-04
0,0.018522708,0.01986433,0.02685814,0.014902605,0.043480894,0.017391671,0.024108062,0.024330374,,0.00E+00,3.68E-04,5.34E-04,4.00E-04,6.48E-04,7.56E-04,4.19E-04,5.87E-04
3.06E-14,0.018660441,0.020018653,0.027014243,0.01509683,0.043554178,0.017622921,0.024351197,0.024557546,,5.71E-16,3.74E-04,5.41E-04,4.08E-04,6.58E-04,7.68E-04,4.29E-04,5.98E-04
3.01E-15,0.023523085,0.023121039,0.005746,0.018775896,0.024289445,0.034769312,0.017726777,0.024546321,,7.08E-17,5.44E-04,1.33E-04,1.08E-04,4.56E-04,8.45E-04,6.16E-04,4.35E-04
3.95E-14,0.019459316,0.020898852,0.027201161,0.014924617,0.042909572,0.016429245,0.022684345,0.022915939,,7.69E-16,4.07E-04,5.68E-04,4.06E-04,6.40E-04,7.05E-04,3.73E-04,5.20E-04
1.94E-14,0.017420962,0.018813463,0.02583997,0.01383774,0.042606063,0.016381924,0.023143286,0.023395621,,3.38E-16,3.28E-04,4.86E-04,3.58E-04,5.90E-04,6.98E-04,3.79E-04,5.41E-04
0,0.015233531,0.015620429,0.017315053,0.017283941,0.029316596,0.018206579,0.020304714,0.020141103,,0.00E+00,2.38E-04,2.70E-04,2.99E-04,5.07E-04,5.34E-04,3.70E-04,4.09E-04
